protocol,%faulty,#lost
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.2,0
entropy,0.3,1
entropy,0.3,3
entropy,0.3,2
entropy,0.3,1
entropy,0.3,1
entropy,0.3,2
entropy,0.3,2
entropy,0.3,3
entropy,0.3,2
entropy,0.3,4
entropy,0.4,72
entropy,0.4,71
entropy,0.4,59
entropy,0.4,62
entropy,0.4,68
entropy,0.4,57
entropy,0.4,53
entropy,0.4,52
entropy,0.4,46
entropy,0.4,50
entropy,0.5,497
entropy,0.5,481
entropy,0.5,498
entropy,0.5,485
entropy,0.5,485
entropy,0.5,494
entropy,0.5,478
entropy,0.5,462
entropy,0.5,469
entropy,0.5,461
entropy,0.6,956
entropy,0.6,953
entropy,0.6,953
entropy,0.6,952
entropy,0.6,952
entropy,0.6,953
entropy,0.6,948
entropy,0.6,948
entropy,0.6,947
entropy,0.6,945
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
entropy,0.7,1000
replicated,0,0
replicated,0.1,2
replicated,0.1,1
replicated,0.1,1
replicated,0.1,2
replicated,0.1,0
replicated,0.1,1
replicated,0.1,1
replicated,0.1,0
replicated,0.1,1
replicated,0.1,1
replicated,0.2,9
replicated,0.2,9
replicated,0.2,7
replicated,0.2,8
replicated,0.2,9
replicated,0.2,7
replicated,0.2,7
replicated,0.2,9
replicated,0.2,7
replicated,0.2,6
replicated,0.3,31
replicated,0.3,28
replicated,0.3,24
replicated,0.3,21
replicated,0.3,18
replicated,0.3,21
replicated,0.3,35
replicated,0.3,25
replicated,0.3,32
replicated,0.3,37
replicated,0.4,68
replicated,0.4,67
replicated,0.4,67
replicated,0.4,62
replicated,0.4,68
replicated,0.4,75
replicated,0.4,62
replicated,0.4,61
replicated,0.4,69
replicated,0.4,61
replicated,0.5,131
replicated,0.5,124
replicated,0.5,122
replicated,0.5,123
replicated,0.5,131
replicated,0.5,127
replicated,0.5,119
replicated,0.5,127
replicated,0.5,136
replicated,0.5,125
replicated,0.6,226
replicated,0.6,209
replicated,0.6,243
replicated,0.6,211
replicated,0.6,221
replicated,0.6,219
replicated,0.6,224
replicated,0.6,213
replicated,0.6,216
replicated,0.6,217
replicated,0.7,346
replicated,0.7,351
replicated,0.7,368
replicated,0.7,340
replicated,0.7,345
replicated,0.7,347
replicated,0.7,334
replicated,0.7,364
replicated,0.7,356
replicated,0.7,345
replicated,0.8,502
replicated,0.8,513
replicated,0.8,516
replicated,0.8,542
replicated,0.8,517
replicated,0.8,520
replicated,0.8,511
replicated,0.8,512
replicated,0.8,518
replicated,0.8,509
replicated,0.9,725
replicated,0.9,734
replicated,0.9,725
replicated,0.9,735
replicated,0.9,731
replicated,0.9,733
replicated,0.9,737
replicated,0.9,737
replicated,0.9,726
replicated,0.9,740
replicated,1.0,1000
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.3,0
entropyF,0.4,4
entropyF,0.4,2
entropyF,0.4,0
entropyF,0.4,0
entropyF,0.4,0
entropyF,0.4,1
entropyF,0.4,1
entropyF,0.4,0
entropyF,0.4,3
entropyF,0.4,0
entropyF,0.5,74
entropyF,0.5,76
entropyF,0.5,63
entropyF,0.5,74
entropyF,0.5,62
entropyF,0.5,73
entropyF,0.5,69
entropyF,0.5,67
entropyF,0.5,79
entropyF,0.5,63
entropyF,0.6,637
entropyF,0.6,643
entropyF,0.6,631
entropyF,0.6,621
entropyF,0.6,618
entropyF,0.6,614
entropyF,0.6,610
entropyF,0.6,609
entropyF,0.6,601
entropyF,0.6,597
entropyF,0.7,992
entropyF,0.7,995
entropyF,0.7,997
entropyF,0.7,996
entropyF,0.7,992
entropyF,0.7,994
entropyF,0.7,993
entropyF,0.7,992
entropyF,0.7,995
entropyF,0.7,990
entropyF,0.8,1000
