protocol,#peer,AFR,#object,repair
entropy-0,10000,1,100000,12705807
entropy-0,10000,1,100000,12708340
entropy-0,10000,1,100000,12706592
entropy-0,10000,1,100000,12709798
entropy-0,10000,1,100000,12709855
entropy-0,10000,1,100000,12709077
entropy-0,10000,1,100000,12707572
entropy-0,10000,1,100000,12704524
entropy-0,10000,1,100000,12700792
entropy-0,10000,1,100000,12707479
entropy-0.25,10000,1,100000,9532041
entropy-0.25,10000,1,100000,9534047
entropy-0.25,10000,1,100000,9532114
entropy-0.25,10000,1,100000,9534320
entropy-0.25,10000,1,100000,9530690
entropy-0.25,10000,1,100000,9530173
entropy-0.25,10000,1,100000,9525780
entropy-0.25,10000,1,100000,9529477
entropy-0.25,10000,1,100000,9533031
entropy-0.25,10000,1,100000,9531515
entropy-0.5,10000,1,100000,6359445
entropy-0.5,10000,1,100000,6357624
entropy-0.5,10000,1,100000,6358947
entropy-0.5,10000,1,100000,6356139
entropy-0.5,10000,1,100000,6357387
entropy-0.5,10000,1,100000,6356276
entropy-0.5,10000,1,100000,6358594
entropy-0.5,10000,1,100000,6357444
entropy-0.5,10000,1,100000,6352936
entropy-0.5,10000,1,100000,6358733
entropy-0.75,10000,1,100000,3189450
entropy-0.75,10000,1,100000,3188085.8
entropy-0.75,10000,1,100000,3186221
entropy-0.75,10000,1,100000,3186145.8
entropy-0.75,10000,1,100000,3189581.5
entropy-0.75,10000,1,100000,3190356
entropy-0.75,10000,1,100000,3189660
entropy-0.75,10000,1,100000,3190316.3
entropy-0.75,10000,1,100000,3187824
entropy-0.75,10000,1,100000,3187781
entropy-1,10000,1,100000,198526.19
entropy-1,10000,1,100000,198584.28
entropy-1,10000,1,100000,198518.33
entropy-1,10000,1,100000,198542.81
entropy-1,10000,1,100000,198541.2
entropy-1,10000,1,100000,198505.33
entropy-1,10000,1,100000,198552.22
entropy-1,10000,1,100000,198522.6
entropy-1,10000,1,100000,198608.73
entropy-1,10000,1,100000,198510.86
replicated,10000,1,100000,301200
replicated,10000,1,100000,299531
replicated,10000,1,100000,298057
replicated,10000,1,100000,300440
replicated,10000,1,100000,298830
replicated,10000,1,100000,301552
replicated,10000,1,100000,302409
replicated,10000,1,100000,298405
replicated,10000,1,100000,298253
replicated,10000,1,100000,305019
replicated,10000,1,10000,30065
replicated,10000,1,10000,29616
replicated,10000,1,10000,29851
replicated,10000,1,10000,29738
replicated,10000,1,10000,30221
replicated,10000,1,10000,29851
replicated,10000,1,10000,29987
replicated,10000,1,10000,29583
replicated,10000,1,10000,30329
replicated,10000,1,10000,30248
replicated,10000,1,1000,2979
replicated,10000,1,1000,3045
replicated,10000,1,1000,2982
replicated,10000,1,1000,3033
replicated,10000,1,1000,3020
replicated,10000,1,1000,2956
replicated,10000,1,1000,3056
replicated,10000,1,1000,3032
replicated,10000,1,1000,2932
replicated,10000,1,1000,3105
replicated,10000,1,100,340
replicated,10000,1,100,321
replicated,10000,1,100,309
replicated,10000,1,100,253
replicated,10000,1,100,294
replicated,10000,1,100,308
replicated,10000,1,100,325
replicated,10000,1,100,306
replicated,10000,1,100,313
replicated,10000,1,100,336
replicated,10000,1,10,25
replicated,10000,1,10,31
replicated,10000,1,10,27
replicated,10000,1,10,33
replicated,10000,1,10,35
replicated,10000,1,10,28
replicated,10000,1,10,23
replicated,10000,1,10,23
replicated,10000,1,10,26
replicated,10000,1,10,30
entropy-0,10000,1,10,1234
entropy-0,10000,1,10,1258
entropy-0,10000,1,10,1266
entropy-0,10000,1,10,1327
entropy-0,10000,1,10,1291
entropy-0,10000,1,10,1252
entropy-0,10000,1,10,1208
entropy-0,10000,1,10,1235
entropy-0,10000,1,10,1298
entropy-0,10000,1,10,1233
entropy-0.25,10000,1,10,947.4531
entropy-0.25,10000,1,10,930.40625
entropy-0.25,10000,1,10,916.0469
entropy-0.25,10000,1,10,949.8906
entropy-0.25,10000,1,10,969.21875
entropy-0.25,10000,1,10,968.6875
entropy-0.25,10000,1,10,958.65625
entropy-0.25,10000,1,10,934.2656
entropy-0.25,10000,1,10,949.5
entropy-0.25,10000,1,10,935.75
entropy-0.5,10000,1,10,641.6875
entropy-0.5,10000,1,10,638.46875
entropy-0.5,10000,1,10,624.2656
entropy-0.5,10000,1,10,641.3125
entropy-0.5,10000,1,10,633.5156
entropy-0.5,10000,1,10,647.78125
entropy-0.5,10000,1,10,652.25
entropy-0.5,10000,1,10,622.7031
entropy-0.5,10000,1,10,623.2031
entropy-0.5,10000,1,10,648.6719
entropy-0.75,10000,1,10,326.39063
entropy-0.75,10000,1,10,336.625
entropy-0.75,10000,1,10,345.125
entropy-0.75,10000,1,10,293.4375
entropy-0.75,10000,1,10,326.3125
entropy-0.75,10000,1,10,335.54688
entropy-0.75,10000,1,10,337.70313
entropy-0.75,10000,1,10,316.5625
entropy-0.75,10000,1,10,336.26563
entropy-0.75,10000,1,10,315.17188
entropy-1,10000,1,10,18.75
entropy-1,10000,1,10,20.28125
entropy-1,10000,1,10,19.578125
entropy-1,10000,1,10,20.140625
entropy-1,10000,1,10,20.484375
entropy-1,10000,1,10,19.34375
entropy-1,10000,1,10,18.796875
entropy-1,10000,1,10,20.046875
entropy-1,10000,1,10,19.875
entropy-1,10000,1,10,19.953125
entropy-1,10000,1,100,199.04688
entropy-1,10000,1,100,198.73438
entropy-1,10000,1,100,196.375
entropy-1,10000,1,100,198.96875
entropy-1,10000,1,100,200.09375
entropy-1,10000,1,100,196.1875
entropy-1,10000,1,100,197.73438
entropy-1,10000,1,100,197.125
entropy-1,10000,1,100,199.15625
entropy-1,10000,1,100,199.03125
entropy-0.75,10000,1,100,3353.5938
entropy-0.75,10000,1,100,3260.5469
entropy-0.75,10000,1,100,3315.2656
entropy-0.75,10000,1,100,3314.0469
entropy-0.75,10000,1,100,3263.5
entropy-0.75,10000,1,100,3332.875
entropy-0.75,10000,1,100,3293.7969
entropy-0.75,10000,1,100,3352.75
entropy-0.75,10000,1,100,3303.9531
entropy-0.75,10000,1,100,3195.5313
entropy-0.5,10000,1,100,6490.797
entropy-0.5,10000,1,100,6334.75
entropy-0.5,10000,1,100,6421.953
entropy-0.5,10000,1,100,6398.0938
entropy-0.5,10000,1,100,6465.672
entropy-0.5,10000,1,100,6517.328
entropy-0.5,10000,1,100,6455.6094
entropy-0.5,10000,1,100,6462.3906
entropy-0.5,10000,1,100,6409.6563
entropy-0.5,10000,1,100,6322.8906
entropy-0.25,10000,1,100,9521.6875
entropy-0.25,10000,1,100,9477.859
entropy-0.25,10000,1,100,9458.75
entropy-0.25,10000,1,100,9615.031
entropy-0.25,10000,1,100,9479.828
entropy-0.25,10000,1,100,9624.016
entropy-0.25,10000,1,100,9589.859
entropy-0.25,10000,1,100,9617.3125
entropy-0.25,10000,1,100,9598.047
entropy-0.25,10000,1,100,9458.125
entropy-0,10000,1,100,12589
entropy-0,10000,1,100,12682
entropy-0,10000,1,100,12719
entropy-0,10000,1,100,12767
entropy-0,10000,1,100,12682
entropy-0,10000,1,100,12712
entropy-0,10000,1,100,12668
entropy-0,10000,1,100,12787
entropy-0,10000,1,100,12751
entropy-0,10000,1,100,12427
entropy-0,10000,1,1000,127515
entropy-0,10000,1,1000,127355
entropy-0,10000,1,1000,127613
entropy-0,10000,1,1000,127091
entropy-0,10000,1,1000,127096
entropy-0,10000,1,1000,126834
entropy-0,10000,1,1000,126625
entropy-0,10000,1,1000,127050
entropy-0,10000,1,1000,126697
entropy-0,10000,1,1000,126429
entropy-0.25,10000,1,1000,96009.09
entropy-0.25,10000,1,1000,96166.06
entropy-0.25,10000,1,1000,95996.84
entropy-0.25,10000,1,1000,95830.2
entropy-0.25,10000,1,1000,95950.375
entropy-0.25,10000,1,1000,95731.69
entropy-0.25,10000,1,1000,95399.64
entropy-0.25,10000,1,1000,95975.25
entropy-0.25,10000,1,1000,95161.56
entropy-0.25,10000,1,1000,95268.61
entropy-0.5,10000,1,1000,64713.844
entropy-0.5,10000,1,1000,64812.734
entropy-0.5,10000,1,1000,64514.563
entropy-0.5,10000,1,1000,64520.188
entropy-0.5,10000,1,1000,64809.67
entropy-0.5,10000,1,1000,64551.61
entropy-0.5,10000,1,1000,64144.75
entropy-0.5,10000,1,1000,64629.797
entropy-0.5,10000,1,1000,64117.33
entropy-0.5,10000,1,1000,64040.297
entropy-0.75,10000,1,1000,33345.75
entropy-0.75,10000,1,1000,33559.813
