protocol,t,repair,store
entropy,86400,0,1.953125
entropy,172800,0,1.953125
entropy,259200,0,1.953125
entropy,345600,0,1.953125
entropy,432000,0,1.9375
entropy,518400,0,1.921875
entropy,604800,0,1.921875
entropy,691200,0,1.90625
entropy,777600,0,1.90625
entropy,864000,0,1.90625
entropy,950400,0,1.90625
entropy,1036800,0,1.890625
entropy,1123200,0,1.890625
entropy,1209600,0,1.890625
entropy,1296000,0,1.890625
entropy,1382400,0,1.890625
entropy,1468800,0,1.890625
entropy,1555200,0,1.875
entropy,1641600,0,1.859375
entropy,1728000,0,1.859375
entropy,1814400,0,1.84375
entropy,1900800,0,1.828125
entropy,1987200,0,1.828125
entropy,2073600,0,1.828125
entropy,2160000,0,1.8125
entropy,2246400,0,1.796875
entropy,2332800,0,1.78125
entropy,2419200,0,1.78125
entropy,2505600,0,1.78125
entropy,2592000,0,1.765625
entropy,2678400,0,1.734375
entropy,2764800,0,1.734375
entropy,2851200,0,1.734375
entropy,2937600,0,1.734375
entropy,3024000,0,1.71875
entropy,3110400,0,1.71875
entropy,3196800,0,1.71875
entropy,3283200,0,1.71875
entropy,3369600,0,1.71875
entropy,3456000,0,1.71875
entropy,3542400,0,1.71875
entropy,3628800,0,1.703125
entropy,3715200,0,1.703125
entropy,3801600,0,1.703125
entropy,3888000,0,1.703125
entropy,3974400,0,1.703125
entropy,4060800,0,1.703125
entropy,4147200,0,1.703125
entropy,4233600,0,1.703125
entropy,4320000,0,1.703125
entropy,4406400,0,1.703125
entropy,4492800,0,1.703125
entropy,4579200,0,1.703125
entropy,4665600,0,1.703125
entropy,4752000,0,1.703125
entropy,4838400,0,1.703125
entropy,4924800,0,1.703125
entropy,5011200,0,1.703125
entropy,5097600,0,1.6875
entropy,5184000,0,1.6875
entropy,5270400,0,1.6875
entropy,5356800,0,1.6875
entropy,5443200,0,1.6875
entropy,5529600,0,1.6875
entropy,5616000,0,1.6875
entropy,5702400,0,1.6875
entropy,5788800,0,1.65625
entropy,5875200,0,1.65625
entropy,5961600,0,1.65625
entropy,6048000,0,1.65625
entropy,6134400,0,1.640625
entropy,6220800,0,1.640625
entropy,6307200,0,1.640625
entropy,6393600,0,1.640625
entropy,6480000,0,1.625
entropy,6566400,0,1.625
entropy,6652800,0,1.625
entropy,6739200,0,1.609375
entropy,6825600,0,1.609375
entropy,6912000,0,1.609375
entropy,6998400,0,1.609375
entropy,7084800,0,1.609375
entropy,7171200,0,1.59375
entropy,7257600,0,1.59375
entropy,7344000,0,1.578125
entropy,7430400,0,1.578125
entropy,7516800,0,1.578125
entropy,7603200,0,1.578125
entropy,7689600,0,1.5625
entropy,7776000,0,1.546875
entropy,7862400,0,1.546875
entropy,7948800,0,1.53125
entropy,8035200,0,1.5
entropy,8121600,0,1.5
entropy,8208000,0,1.5
entropy,8294400,0,1.5
entropy,8380800,0,1.484375
entropy,8467200,0,1.484375
entropy,8553600,0,1.484375
entropy,8640000,0,1.484375
entropy,8726400,0,1.484375
entropy,8812800,0,1.484375
entropy,8899200,0,1.46875
entropy,8985600,0,1.46875
entropy,9072000,0,1.46875
entropy,9158400,0,1.46875
entropy,9244800,0,1.46875
entropy,9331200,0,1.453125
entropy,9417600,0,1.453125
entropy,9504000,0,1.453125
entropy,9590400,0,1.453125
entropy,9676800,0,1.453125
entropy,9763200,0,1.453125
entropy,9849600,0,1.453125
entropy,9936000,0,1.4375
entropy,10022400,0,1.4375
entropy,10108800,0,1.4375
entropy,10195200,0,1.421875
entropy,10281600,0,1.421875
entropy,10368000,0,1.421875
entropy,10454400,0,1.40625
entropy,10540800,0,1.40625
entropy,10627200,0,1.40625
entropy,10713600,0,1.40625
entropy,10800000,0,1.375
entropy,10886400,0,1.34375
entropy,10972800,0,1.34375
entropy,11059200,0,1.34375
entropy,11145600,0,1.328125
entropy,11232000,0,1.3125
entropy,11318400,0,1.3125
entropy,11404800,0,1.3125
entropy,11491200,0,1.3125
entropy,11577600,0,1.3125
entropy,11664000,0,1.3125
entropy,11750400,0,1.296875
entropy,11836800,0,1.296875
entropy,11923200,0,1.296875
entropy,12009600,0,1.296875
entropy,12096000,0,1.296875
entropy,12182400,0,1.28125
entropy,12268800,0,1.28125
entropy,12355200,0,1.28125
entropy,12441600,0,1.265625
entropy,12528000,0,1.265625
entropy,12614400,0,1.265625
entropy,12700800,0,1.265625
entropy,12787200,0,1.265625
entropy,12873600,0,1.265625
entropy,12960000,0,1.265625
entropy,13046400,0,1.265625
entropy,13132800,0,1.265625
entropy,13219200,0,1.265625
entropy,13305600,0,1.265625
entropy,13392000,0,1.265625
entropy,13478400,0,1.25
entropy,13564800,0,1.25
entropy,13651200,0,1.234375
entropy,13737600,0,1.234375
entropy,13824000,0,1.234375
entropy,13910400,0,1.234375
entropy,13996800,0,1.234375
entropy,14083200,0,1.234375
entropy,14169600,0,1.21875
entropy,14256000,0,1.21875
entropy,14342400,0,1.1875
entropy,14428800,2.078125,3.25
entropy,14515200,2.078125,3.25
entropy,14601600,2.078125,3.25
entropy,14688000,2.078125,3.25
entropy,14774400,2.078125,3.25
entropy,14860800,2.078125,3.25
entropy,14947200,2.078125,3.25
entropy,15033600,2.078125,3.234375
entropy,15120000,2.078125,3.234375
entropy,15206400,2.078125,3.21875
entropy,15292800,2.078125,3.203125
entropy,15379200,2.078125,3.171875
entropy,15465600,2.078125,3.171875
entropy,15552000,2.078125,3.15625
entropy,15638400,2.078125,3.125
entropy,15724800,2.078125,3.09375
entropy,15811200,2.078125,3.09375
entropy,15897600,2.078125,3.078125
entropy,15984000,2.078125,3.0625
entropy,16070400,2.078125,3.0625
entropy,16156800,2.078125,3.0625
entropy,16243200,2.078125,3.0625
entropy,16329600,2.078125,3.0625
entropy,16416000,2.078125,3.046875
entropy,16502400,2.078125,3
entropy,16588800,2.078125,3
entropy,16675200,2.078125,2.984375
entropy,16761600,2.078125,2.984375
entropy,16848000,2.078125,2.96875
entropy,16934400,2.078125,2.96875
entropy,17020800,2.078125,2.96875
entropy,17107200,2.078125,2.96875
entropy,17193600,2.078125,2.96875
entropy,17280000,2.078125,2.953125
entropy,17366400,2.078125,2.921875
entropy,17452800,2.078125,2.90625
entropy,17539200,2.078125,2.890625
entropy,17625600,2.078125,2.890625
entropy,17712000,2.078125,2.890625
entropy,17798400,2.078125,2.890625
entropy,17884800,2.078125,2.890625
entropy,17971200,2.078125,2.890625
entropy,18057600,2.078125,2.890625
entropy,18144000,2.078125,2.890625
entropy,18230400,2.078125,2.875
