protocol,t,repair,store
replicated,86400,0,3
replicated,172800,0,3
replicated,259200,0,3
replicated,345600,0,3
replicated,432000,0,3
replicated,518400,0,3
replicated,604800,0,3
replicated,691200,0,3
replicated,777600,0,3
replicated,864000,0,3
replicated,950400,0,3
replicated,1036800,0,3
replicated,1123200,0,3
replicated,1209600,0,3
replicated,1296000,0,3
replicated,1382400,0,3
replicated,1468800,0,3
replicated,1555200,0,3
replicated,1641600,0,3
replicated,1728000,0,3
replicated,1814400,0,3
replicated,1900800,0,3
replicated,1987200,0,3
replicated,2073600,0,3
replicated,2160000,0,3
replicated,2246400,1,3
replicated,2332800,1,3
replicated,2419200,1,3
replicated,2505600,1,3
replicated,2592000,1,3
replicated,2678400,1,3
replicated,2764800,1,3
replicated,2851200,1,3
replicated,2937600,1,3
replicated,3024000,1,3
replicated,3110400,1,3
replicated,3196800,1,3
replicated,3283200,1,3
replicated,3369600,1,3
replicated,3456000,1,3
replicated,3542400,1,3
replicated,3628800,1,3
replicated,3715200,1,3
replicated,3801600,1,3
replicated,3888000,1,3
replicated,3974400,1,3
replicated,4060800,1,3
replicated,4147200,1,3
replicated,4233600,1,3
replicated,4320000,1,3
replicated,4406400,1,3
replicated,4492800,1,3
replicated,4579200,1,3
replicated,4665600,1,3
replicated,4752000,1,3
replicated,4838400,1,3
replicated,4924800,1,3
replicated,5011200,1,3
replicated,5097600,1,3
replicated,5184000,1,3
replicated,5270400,1,3
replicated,5356800,1,3
replicated,5443200,1,3
replicated,5529600,1,3
replicated,5616000,1,3
replicated,5702400,1,3
replicated,5788800,1,3
replicated,5875200,1,3
replicated,5961600,1,3
replicated,6048000,1,3
replicated,6134400,1,3
replicated,6220800,1,3
replicated,6307200,1,3
replicated,6393600,1,3
replicated,6480000,1,3
replicated,6566400,1,3
replicated,6652800,1,3
replicated,6739200,1,3
replicated,6825600,1,3
replicated,6912000,1,3
replicated,6998400,1,3
replicated,7084800,1,3
replicated,7171200,1,3
replicated,7257600,1,3
replicated,7344000,1,3
replicated,7430400,1,3
replicated,7516800,1,3
replicated,7603200,1,3
replicated,7689600,1,3
replicated,7776000,1,3
replicated,7862400,1,3
replicated,7948800,1,3
replicated,8035200,1,3
replicated,8121600,1,3
replicated,8208000,1,3
replicated,8294400,1,3
replicated,8380800,1,3
replicated,8467200,1,3
replicated,8553600,1,3
replicated,8640000,1,3
replicated,8726400,1,3
replicated,8812800,1,3
replicated,8899200,1,3
replicated,8985600,1,3
replicated,9072000,1,3
replicated,9158400,1,3
replicated,9244800,1,3
replicated,9331200,1,3
replicated,9417600,1,3
replicated,9504000,1,3
replicated,9590400,1,3
replicated,9676800,1,3
replicated,9763200,1,3
replicated,9849600,1,3
replicated,9936000,1,3
replicated,10022400,1,3
replicated,10108800,1,3
replicated,10195200,2,3
replicated,10281600,2,3
replicated,10368000,2,3
replicated,10454400,2,3
replicated,10540800,2,3
replicated,10627200,2,3
replicated,10713600,2,3
replicated,10800000,2,3
replicated,10886400,2,3
replicated,10972800,2,3
replicated,11059200,2,3
replicated,11145600,2,3
replicated,11232000,2,3
replicated,11318400,2,3
replicated,11404800,2,3
replicated,11491200,2,3
replicated,11577600,2,3
replicated,11664000,2,3
replicated,11750400,2,3
replicated,11836800,2,3
replicated,11923200,2,3
replicated,12009600,2,3
replicated,12096000,2,3
replicated,12182400,2,3
replicated,12268800,2,3
replicated,12355200,2,3
replicated,12441600,2,3
replicated,12528000,2,3
replicated,12614400,2,3
replicated,12700800,2,3
replicated,12787200,2,3
replicated,12873600,2,3
replicated,12960000,2,3
replicated,13046400,2,3
replicated,13132800,2,3
replicated,13219200,2,3
replicated,13305600,2,3
replicated,13392000,2,3
replicated,13478400,2,3
replicated,13564800,2,3
replicated,13651200,2,3
replicated,13737600,2,3
replicated,13824000,2,3
replicated,13910400,2,3
replicated,13996800,2,3
replicated,14083200,2,3
replicated,14169600,2,3
replicated,14256000,2,3
replicated,14342400,2,3
replicated,14428800,2,3
replicated,14515200,2,3
replicated,14601600,2,3
replicated,14688000,2,3
replicated,14774400,2,3
replicated,14860800,2,3
replicated,14947200,2,3
replicated,15033600,2,3
replicated,15120000,2,3
replicated,15206400,2,3
replicated,15292800,2,3
replicated,15379200,2,3
replicated,15465600,2,3
replicated,15552000,2,3
replicated,15638400,2,3
replicated,15724800,2,3
replicated,15811200,2,3
replicated,15897600,2,3
replicated,15984000,2,3
replicated,16070400,2,3
replicated,16156800,2,3
replicated,16243200,2,3
replicated,16329600,2,3
replicated,16416000,2,3
replicated,16502400,2,3
replicated,16588800,3,3
replicated,16675200,3,3
replicated,16761600,3,3
replicated,16848000,3,3
replicated,16934400,3,3
replicated,17020800,3,3
replicated,17107200,3,3
replicated,17193600,3,3
replicated,17280000,3,3
replicated,17366400,3,3
replicated,17452800,3,3
replicated,17539200,3,3
